diagnosisId:ID,icdCode,icdVersion,icdTitle,category,:LABEL
d_Z6835_10,Z6835,10,"Body mass index (BMI) 35.0-35.9, adult",Unknown,Diagnosis
d_Z23_10,Z23,10,Encounter for immunization,Unknown,Diagnosis
d_I7102_10,I7102,10,Dissection of abdominal aorta,Unknown,Diagnosis
d_1505_9,1505,9,Malignant neoplasm of lower third of esophagus,Unknown,Diagnosis
d_53085_9,53085,9,Barrett's esophagus,Unknown,Diagnosis
d_2851_9,2851,9,Acute posthemorrhagic anemia,Unknown,Diagnosis
d_53560_9,53560,9,"Duodenitis, without mention of hemorrhage",Unknown,Diagnosis
d_7200_9,7200,9,Ankylosing spondylitis,Unknown,Diagnosis
d_V641_9,V641,9,Surgical or other procedure not carried out because of contraindication,Unknown,Diagnosis
d_4241_9,4241,9,Aortic valve disorders,Unknown,Diagnosis
d_78062_9,78062,9,Postprocedural fever,Unknown,Diagnosis
d_4293_9,4293,9,Cardiomegaly,Unknown,Diagnosis
d_5262_9,5262,9,Other cysts of jaws,Unknown,Diagnosis
d_4558_9,4558,9,Unspecified hemorrhoids with other complication,Unknown,Diagnosis
d_431_9,431,9,Intracerebral hemorrhage,Unknown,Diagnosis
d_3314_9,3314,9,Obstructive hydrocephalus,Unknown,Diagnosis
d_V4987_9,V4987,9,Physical restraints status,Unknown,Diagnosis
d_V4986_9,V4986,9,Do not resuscitate status,Unknown,Diagnosis
d_71690_9,71690,9,"Arthropathy, unspecified, site unspecified",Unknown,Diagnosis
d_V4586_9,V4586,9,Bariatric surgery status,Unknown,Diagnosis
d_2397_9,2397,9,Neoplasm of unspecified nature of endocrine glands and other parts of nervous system,Unknown,Diagnosis
d_V4364_9,V4364,9,Hip joint replacement,Unknown,Diagnosis
d_56409_9,56409,9,Other constipation,Unknown,Diagnosis
d_V1254_9,V1254,9,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits",Unknown,Diagnosis
d_73730_9,73730,9,"Scoliosis [and kyphoscoliosis], idiopathic",Unknown,Diagnosis
d_75612_9,75612,9,Spondylolisthesis,Unknown,Diagnosis
d_72403_9,72403,9,"Spinal stenosis, lumbar region, with neurogenic claudication",Unknown,Diagnosis
d_4271_9,4271,9,Paroxysmal ventricular tachycardia,Unknown,Diagnosis
d_1622_9,1622,9,Malignant neoplasm of main bronchus,Unknown,Diagnosis
d_V1642_9,V1642,9,Family history of malignant neoplasm of prostate,Unknown,Diagnosis
d_V163_9,V163,9,Family history of malignant neoplasm of breast,Unknown,Diagnosis
d_V4561_9,V4561,9,Cataract extraction status,Unknown,Diagnosis
d_33818_9,33818,9,Other acute postoperative pain,Unknown,Diagnosis
d_V431_9,V431,9,Lens replaced by other means,Unknown,Diagnosis
d_36250_9,36250,9,"Macular degeneration (senile), unspecified",Unknown,Diagnosis
d_V103_9,V103,9,Personal history of malignant neoplasm of breast,Unknown,Diagnosis
d_E8786_9,E8786,9,"Removal of other organ (partial) (total) causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",Unknown,Diagnosis
d_J449_10,J449,10,"Chronic obstructive pulmonary disease, unspecified",Unknown,Diagnosis
d_R6521_10,R6521,10,Severe sepsis with septic shock,Unknown,Diagnosis
d_E039_10,E039,10,"Hypothyroidism, unspecified",Unknown,Diagnosis
d_J189_10,J189,10,"Pneumonia, unspecified organism",Unknown,Diagnosis
d_K649_10,K649,10,Unspecified hemorrhoids,Unknown,Diagnosis
d_Z66_10,Z66,10,Do not resuscitate,Unknown,Diagnosis
d_A419_10,A419,10,"Sepsis, unspecified organism",Unknown,Diagnosis
d_4588_9,4588,9,Other specified hypotension,Unknown,Diagnosis
d_4260_9,4260,9,"Atrioventricular block, complete",Unknown,Diagnosis
d_78097_9,78097,9,Altered mental status,Unknown,Diagnosis
d_I9751_10,I9751,10,Accidental puncture and laceration of a circulatory system organ or structure during a circulatory system procedure,Unknown,Diagnosis
d_I871_10,I871,10,Compression of vein,Unknown,Diagnosis
d_Y838_10,Y838,10,"Other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",Unknown,Diagnosis
d_Y92234_10,Y92234,10,Operating room of hospital as the place of occurrence of the external cause,Unknown,Diagnosis
d_I82422_10,I82422,10,Acute embolism and thrombosis of left iliac vein,Unknown,Diagnosis
d_I25119_10,I25119,10,Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris,Unknown,Diagnosis
